'Ahuimanu	'Ahuimanu, Hawaii
Ladd's Addition	Ladd's Addition, Oregon
Laenna Township	Laenna Township, Illinois
Lafayette Park	Lafayette Park, California ||| Lafayette Park, Missouri
Lago Mar	Lago Mar, Virginia
Lagrange Township	Lagrange Township, Illinois
Laguna Creek	Laguna Creek, California
Laguna Honda	Laguna Honda, California
Lake Center	Lake Center, Florida
Lake City Township	Lake City Township, Iowa ||| Lake City Township, Kansas
Lake Cliff	Lake Cliff, Texas
Lake County Airport	Lake County Airport, Colorado
Lake Creek Precinct	Lake Creek Precinct, Illinois
Lake Creek Township	Lake Creek Township, Iowa
Lake Fork Township	Lake Fork Township, Illinois
Lake Highlands	Lake Highlands, Texas
Lake Ibsen Township	Lake Ibsen Township, North Dakota
Lake Lindero	Lake Lindero, California
Lake Local School District	Lake Local School District, Ohio
Lake Park Estates	Lake Park Estates, Texas
Lake Town Township	Lake Town Township, North Dakota
Lake View Cemetery	Lake View Cemetery, Washington
Lake West	Lake West, Texas
Lakeside Apartments District	Lakeside Apartments District, California
Lakeview Terrace	Lakeview Terrace, California
Lakeville Township	Lakeville Township, Iowa
Lakewest	Lakewest, Texas
Lallie Township	Lallie Township, North Dakota
Lamar Terrace	Lamar Terrace, Texas
Lamard Township	Lamard Township, Illinois
Lamine Township	Lamine Township, Missouri
Lamoille Township	Lamoille Township, Illinois
Lamoine Township	Lamoine Township, Illinois
Lamont Township	Lamont Township, Kansas
Lancaster Airport	Lancaster Airport, Pennsylvania
Lancaster Precinct	Lancaster Precinct, Illinois
Land Park	Land Park, California
Lanesville Township	Lanesville Township, Illinois
Langley Township	Langley Township, Kansas
Larch Mountain	Larch Mountain, Oregon
Larchmont Village	Larchmont Village, California
Larkinsburg Township	Larkinsburg Township, Illinois
Larrabee Township	Larrabee Township, Kansas
Laurel Ford	Laurel Ford, Kentucky
Laurel Heights	Laurel Heights, California
Laurel Hill Cemetery	Laurel Hill Cemetery, Nebraska
Laurelhurst	Laurelhurst, Oregon ||| Laurelhurst, Washington
Lawndale Township	Lawndale Township, Illinois
Le Claire Township	Le Claire Township, Iowa
Leaning Oak	Leaning Oak, West Virginia
Leather District	Leather District, Massachusetts
Lecompton Township	Lecompton Township, Kansas
Ledbetter Gardens	Ledbetter Gardens, Texas
Lee Center Township	Lee Center Township, Illinois
Lee's Creek Township	Lee's Creek Township, Arkansas
Leech Station	Leech Station, Kentucky
Leech Township	Leech Township, Illinois
Leef Township	Leef Township, Illinois
Leepertown Township	Leepertown Township, Illinois
Leesville Township	Leesville Township, North Carolina
Lehman	Lehman, Pennsylvania
Leilehua High School	Leilehua High School, Hawaii
Lemmon Township	Lemmon Township, North Dakota
Lemont Township	Lemont Township, Illinois
Lenzburg Township	Lenzburg Township, Illinois
Leschi	Leschi, Washington
Lester Township	Lester Township, Iowa
Levan Township	Levan Township, Illinois
Levee Township	Levee Township, Illinois
Levin Coffin House	Levin Coffin House, Indiana
Lewis and Clark Township	Lewis and Clark Township, Missouri
Lewiston Public Library	Lewiston Public Library, New York
Lewistown Township	Lewistown Township, Illinois
Lewisville Township	Lewisville Township, North Carolina
Lewittown Township	Lewittown Township, New Jersey
Lexington Local School District	Lexington Local School District, Ohio
Leyden Township	Leyden Township, Illinois
Liberty Heights	Liberty Heights, Massachusetts
Liberty High School	Liberty High School, Colorado ||| Liberty High School, Maryland ||| Liberty High School, Washington
Liberty Square Housing Projects	Liberty Square Housing Projects, Florida
Liberty Station	Liberty Station, California
Liberty Village	Liberty Village, California
Libertyville Township	Libertyville Township, Illinois
Lick Creek Township	Lick Creek Township, Iowa
Lick Fork	Lick Fork, West Virginia
Lick Prairie Precinct	Lick Prairie Precinct, Illinois
Licton Springs	Licton Springs, Washington
Lido Isle	Lido Isle, California
Life Christian School	Life Christian School, Oregon
Lightning Creek Township	Lightning Creek Township, North Dakota
Lillington Township	Lillington Township, North Carolina
Lime Creek Township	Lime Creek Township, Iowa
Lime Kilns	Lime Kilns, Rhode Island
Lincoln County Middle School	Lincoln County Middle School, Kentucky
Lincoln Hills	Lincoln Hills, Georgia
Lincoln International District	Lincoln International District, Washington
Lincoln-Villa	Lincoln-Villa, California
Lind Bohanon	Lind Bohanon, Minnesota
Lind-Bohanon	Lind-Bohanon, Minnesota
Linda Isle	Linda Isle, California
Lindale Park	Lindale Park, Texas
Linden Hills	Linden Hills, Minnesota
Linder Township	Linder Township, Illinois
Linn Township	Linn Township, Illinois ||| Linn Township, Iowa ||| Linn Township, Missouri
Litaker Township	Litaker Township, North Carolina
Litteral Township	Litteral Township, Arkansas
Little Armenia	Little Armenia, California
Little Caney Township	Little Caney Township, Kansas
Little Ethiopia	Little Ethiopia, California
Little Forest Hills	Little Forest Hills, Texas
Little Haiti	Little Haiti, Florida
Little Mackinaw Township	Little Mackinaw Township, Illinois
Little Manila	Little Manila, California
Little Miami Local School District	Little Miami Local School District, Ohio
Little Osaka	Little Osaka, California
Little Persia	Little Persia, California
Little Phnom Penh	Little Phnom Penh, California
Little River Township	Little River Township, North Carolina
Little Tokyo	Little Tokyo, California
Little Vietnam	Little Vietnam, Illinois
Little Walnut Township	Little Walnut Township, Kansas
Littleton Township	Littleton Township, Illinois
Live At The Old Quarter	Live At The Old Quarter, Texas
Live Oaks Square	Live Oaks Square, Florida
Live at Folsom Field	Live at Folsom Field, Colorado
Live at the Old Quarter	Live at the Old Quarter, Texas
Live: Meadowbrook	Live: Meadowbrook, Michigan
Lively Grove Township	Lively Grove Township, Illinois
Llano County Courthouse and Jail	Llano County Courthouse and Jail, Texas
Llanos Township	Llanos Township, Kansas
Lloyd District	Lloyd District, Oregon
Lloyd Township	Lloyd Township, Iowa
Llyswen	Llyswen, Pennsylvania
LoDo	LoDo, Colorado
Loami Township	Loami Township, Illinois
Lochwood	Lochwood, Texas
Lockwood Gardens	Lockwood Gardens, California
Loda Township	Loda Township, Illinois
Lodomillo Township	Lodomillo Township, Iowa
Logan Square	Logan Square, Pennsylvania
Lohnes Township	Lohnes Township, North Dakota
Lola Township	Lola Township, Kansas
Loma Portal	Loma Portal, California
Lomax Township	Lomax Township, Illinois
Lone Grove Township	Lone Grove Township, Illinois
Lone Oak Township	Lone Oak Township, Missouri
Lone Star Township	Lone Star Township, Kansas ||| Lone Star Township, South Dakota
Long Branch Township	Long Branch Township, Illinois
Long Bridge	Long Bridge, Louisiana
Long Creek Township	Long Creek Township, Arkansas ||| Long Creek Township, Illinois ||| Long Creek Township, Iowa
Long Point Township	Long Point Township, Illinois
Longton Township	Longton Township, Kansas
Longwood University	Longwood University, Virginia
Looking Glass Township	Looking Glass Township, Illinois
Lookout Township	Lookout Township, Kansas
Loraine Township	Loraine Township, Illinois
Loran Township	Loran Township, Illinois
Lorance Township	Lorance Township, Missouri
Lorin District	Lorin District, California
Loring Heights	Loring Heights, Minnesota
Loring Park	Loring Park, Minnesota
Los Altos High School	Los Altos High School, California
Los Serranos	Los Serranos, California
Lot One	Lot One, Iowa
Loudon-Melrose	Loudon-Melrose, Virginia
Louisville City School District	Louisville City School District, Ohio
Loutre Township	Loutre Township, Missouri
Love Field	Love Field, Texas
Love Township	Love Township, Illinois
Lovejoy Township	Lovejoy Township, Illinois
Loveland Township	Loveland Township, Ohio
Lovington Township	Lovington Township, Illinois
Lowe Township	Lowe Township, Illinois
Lower Arroyo	Lower Arroyo, California
Lower Bottoms	Lower Bottoms, California
Lower Fillmore	Lower Fillmore, California
Lower Greenville	Lower Greenville, Texas
Lower Haight	Lower Haight, California
Lower Manhattan	Lower Manhattan, New York
Lower Moyamensing	Lower Moyamensing, Pennsylvania
Lower Pacific Heights	Lower Pacific Heights, California
Lower Queen Anne	Lower Queen Anne, Washington
Lower South Grape Creek School	Lower South Grape Creek School, Texas
Lower St. Clair Township	Lower St. Clair Township, Pennsylvania
Lower West Side	Lower West Side, New York
Lowry Hill East	Lowry Hill East, Minnesota
Lowry Hill	Lowry Hill, Minnesota
Lowry Park Central	Lowry Park Central, Florida
Lowry Park North	Lowry Park North, Florida
Lucas Local School District	Lucas Local School District, Ohio
Luckenbach School	Luckenbach School, Texas
Lukin Township	Lukin Township, Illinois
Luray Township	Luray Township, Kansas
Lutheran Church of the Good Shepherd	Lutheran Church of the Good Shepherd, Wisconsin
Lyman Township	Lyman Township, Illinois
Lyn Hills	Lyn Hills, Georgia
Lynchburg Township	Lynchburg Township, Illinois
Lyndale	Lyndale, Minnesota
Lynnhurst	Lynnhurst, Minnesota
Lynnville Township	Lynnville Township, Illinois
Lynwood Center	Lynwood Center, Washington
Lyons Cemetery	Lyons Cemetery, Indiana
M Streets	M Streets, Texas
M-Streets	M-Streets, Texas
MacArthur Park	MacArthur Park, California
Macedonia Township	Macedonia Township, Ohio
Madison South	Madison South, Oregon
Madison Valley	Madison Valley, Washington
Madrona Heights	Madrona Heights, Washington
Madrona Valley	Madrona Valley, Washington
Madrona	Madrona, Washington
Magnolia Grove	Magnolia Grove, Texas
Magor Township	Magor Township, Iowa
Mahomet Township	Mahomet Township, Illinois
Main Street District	Main Street District, Texas
Main Street	Main Street, Texas
Makanda Township	Makanda Township, Illinois
Makee Township	Makee Township, Iowa
Malibu Junction	Malibu Junction, California
Mallory Township	Mallory Township, Iowa
Malone Township	Malone Township, Illinois
Manchester Local School District	Manchester Local School District, Ohio
Mandeville Canyon	Mandeville Canyon, California
Mandir	Mandir, California
Mangum Township	Mangum Township, North Carolina
Manhattan Heights	Manhattan Heights, California
Manhattan Township	Manhattan Township, Illinois
Manito Township	Manito Township, Illinois
Mansfield City School District	Mansfield City School District, Ohio
Maple Grove Park Cemetery	Maple Grove Park Cemetery, New Jersey
Mapleton Drive	Mapleton Drive, California
Maplewood Cemetery	Maplewood Cemetery, New Jersey
Maplewood North	Maplewood North, Texas
Maplewood South	Maplewood South, Texas
Maplewood South/North	Maplewood South/North, Texas
Maquon Township	Maquon Township, Illinois
Mar Vista Gardens	Mar Vista Gardens, California
Marconi Plaza	Marconi Plaza, Pennsylvania
Marcus Township	Marcus Township, Iowa
Marcy Holmes	Marcy Holmes, Minnesota
Marcy Township	Marcy Township, Iowa
Marcy-Holmes	Marcy-Holmes, Minnesota
Marena Township	Marena Township, Kansas
Margate Park	Margate Park, Illinois
Marietta City School District	Marietta City School District, Ohio
Marilyn Estates	Marilyn Estates, Texas
Marina Bay	Marina Bay, California
Marina Club	Marina Club, Florida
Marina District	Marina District, California
Marina Peninsula	Marina Peninsula, California
Marine Township	Marine Township, Illinois
Marissa Township	Marissa Township, Illinois
Market Center	Market Center, Texas
Market East	Market East, Pennsylvania
Market Square	Market Square, Rhode Island
Market Street	Market Street, California
Marks Creek Township	Marks Creek Township, North Carolina
Marlington Local School District	Marlington Local School District, Ohio
Marmaton Township	Marmaton Township, Kansas
Maroa Township	Maroa Township, Illinois
Marquam Hill	Marquam Hill, Oregon
Marquette Senior High School	Marquette Senior High School, Michigan
Marrowbone Township	Marrowbone Township, Illinois
Marrs Hill Township	Marrs Hill Township, Arkansas
Marsh Township	Marsh Township, North Carolina ||| Marsh Township, North Dakota
Marshall Park	Marshall Park, Oregon
Marshall Terrace	Marshall Terrace, Minnesota
Martinsville Township	Martinsville Township, Illinois
Martinton Township	Martinton Township, Illinois
Mary Brickell Village	Mary Brickell Village, Florida
Mary Queen of Peace Catholic Church	Mary Queen of Peace Catholic Church, Pennsylvania
Mary Star of the Sea Catholic Church	Mary Star of the Sea Catholic Church, California
Maryland Township	Maryland Township, Illinois
Maryvale	Maryvale, Arizona
Mascoutah Township	Mascoutah Township, Illinois
Mason City Township	Mason City Township, Illinois ||| Mason City Township, Iowa
Masonic Temple	Masonic Temple, Massachusetts
Massena Township	Massena Township, Iowa
Massillon City School District	Massillon City School District, Ohio
Massillon Township	Massillon Township, Illinois ||| Massillon Township, Iowa
Massilon City School District	Massilon City School District, Ohio
Massilon Township	Massilon Township, Illinois
Mater Dei High School	Mater Dei High School, Illinois
Matfield Township	Matfield Township, Kansas
Matthews Beach	Matthews Beach, Washington
Mattie	Mattie, West Virginia
Mattoon Township	Mattoon Township, Illinois
Maxfield Township	Maxfield Township, Iowa
Maxwell Park	Maxwell Park, California
Mazon Township	Mazon Township, Illinois
McAdoo Township	McAdoo Township, Kansas
McCarver Neighborhood	McCarver Neighborhood, Washington
McCredie Township	McCredie Township, Missouri
McDowell Township	McDowell Township, Missouri
McElroy Memorial A R Presbyterian	McElroy Memorial A R Presbyterian, Georgia
McElroy Memorial A. R. Presbyterian	McElroy Memorial A. R. Presbyterian, Georgia
McElroy Memorial A.R. Presbyterian	McElroy Memorial A.R. Presbyterian, Georgia
McElroy Memorial AR Presbyterian	McElroy Memorial AR Presbyterian, Georgia
McFarlan Precinct	McFarlan Precinct, Illinois
McKee Township	McKee Township, Illinois
McKendree Township	McKendree Township, Illinois
McKinley at Home	McKinley at Home, Ohio
McLeansboro Township	McLeansboro Township, Illinois
McPherson Town	McPherson Town, Ohio
Meacham Township	Meacham Township, Illinois
Meadow Lake Township	Meadow Lake Township, North Dakota
Mecca Gardens	Mecca Gardens, Virginia
Mechanicsburg Township	Mechanicsburg Township, Illinois
Media Township	Media Township, Illinois
Medicine Lodge Township	Medicine Lodge Township, Kansas
Medina City School District	Medina City School District, Ohio
Medway Township	Medway Township, Kansas
Meldrum	Meldrum, Kentucky
Melrose District	Melrose District, California
Melrose Hill	Melrose Hill, California
Melrose-Rugby	Melrose-Rugby, Virginia
Melshire Estates	Melshire Estates, Texas
Melvern Township	Melvern Township, Kansas
Memorial Bend	Memorial Bend, Texas
Memorial Bridge	Memorial Bridge, Massachusetts
Memorial City	Memorial City, Texas
Memorial Park	Memorial Park, California ||| Memorial Park, Nebraska ||| Memorial Park, Texas
Memorial Square	Memorial Square, Massachusetts
Memorial	Memorial, Texas
Mendota Township	Mendota Township, Illinois
Meramec Township	Meramec Township, Missouri
Merced Heights	Merced Heights, California
Merced Manor	Merced Manor, California
Mercy Hospital	Mercy Hospital, Minnesota
Meredith Township	Meredith Township, Kansas ||| Meredith Township, North Carolina
Merriman Park	Merriman Park, Texas
Merriman Park/University Manor	Merriman Park/University Manor, Texas
Mesquite Hills	Mesquite Hills, Texas
Metro Center	Metro Center, Massachusetts
Metro Walk	Metro Walk, California
Metropolitan Theatre	Metropolitan Theatre, West Virginia
Metropolitan Tract	Metropolitan Tract, Washington
Meusebach Creek School	Meusebach Creek School, Texas
Mid-City	Mid-City, California
Mid-Wilshire	Mid-Wilshire, California
Middle Creek Township	Middle Creek Township, North Carolina
Middle Fork I Township	Middle Fork I Township, North Carolina
Middle Fork II Township	Middle Fork II Township, North Carolina
Middle Fork Township	Middle Fork Township, North Carolina
Middleburg Township	Middleburg Township, Ohio
Middlefork Township	Middlefork Township, Illinois
Middleport Township	Middleport Township, Illinois
Middletown High School	Middletown High School, Maryland
Midland School	Midland School, California ||| Midland School, New Jersey
Midland Theater	Midland Theater, Ohio
Midland Theatre	Midland Theatre, Ohio
Midtown Phillips	Midtown Phillips, Minnesota
Milam Township	Milam Township, Illinois
Milks Grove Township	Milks Grove Township, Illinois
Mill District	Mill District, Minnesota
Mill Hill	Mill Hill, New Jersey
Mill Park	Mill Park, Oregon
Mill Shoals Township	Mill Shoals Township, Illinois
Millennium Park	Millennium Park, Michigan
Millennium Tower	Millennium Tower, California
Miller Court/Arrowood	Miller Court/Arrowood, Virginia
Millersburg Township	Millersburg Township, Illinois
Mills District	Mills District, Minnesota
Millsmont	Millsmont, California
Millspring	Millspring, Kentucky
Minco Township	Minco Township, North Dakota
Minerva Local School District	Minerva Local School District, Ohio
Mingo Township	Mingo Township, Missouri
Mingona Township	Mingona Township, Kansas
Minneapolis Township	Minneapolis Township, North Carolina
Minneha Township	Minneha Township, Kansas
Minnie Lake Township	Minnie Lake Township, North Dakota
Minonk Township	Minonk Township, Illinois
Mira Vista	Mira Vista, California
Mira Vista/Richmond View	Mira Vista/Richmond View, California
Mirabile Township	Mirabile Township, Missouri
Miracle Mile	Miracle Mile, California
Mission District	Mission District, California
Mission Junction	Mission Junction, California
Mississippi Township	Mississippi Township, Illinois
Missouri Township	Missouri Township, Illinois
Moccasin Township	Moccasin Township, Illinois
Mocking Bird Branch	Mocking Bird Branch, Kentucky
Modena Park	Modena Park, Pennsylvania
Moline Township	Moline Township, Illinois
Mona Township	Mona Township, Illinois
Monee Township	Monee Township, Illinois
Monett Township	Monett Township, Missouri
Monona Township	Monona Township, Iowa
Monroe County District Library	Monroe County District Library, Ohio
Monroe Point	Monroe Point, Virginia
Monroe Precinct	Monroe Precinct, Illinois
Mont Pleasant	Mont Pleasant, New York
Monta Vista	Monta Vista, California
Montana Township	Montana Township, Kansas
Montbello	Montbello, Colorado
Montebello Township	Montebello Township, Illinois
Montecito Heights	Montecito Heights, California
Monterey Hills	Monterey Hills, California
Montezuma Township	Montezuma Township, Illinois ||| Montezuma Township, Kansas
Montgomery High School	Montgomery High School, California ||| Montgomery High School, New Jersey
Montlake	Montlake, Washington
Montopolis	Montopolis, Texas
Monument City	Monument City, Indiana
Mooney	Mooney, California
Moonshine Hill	Moonshine Hill, Texas
Moore's Prairie Township	Moore's Prairie Township, Illinois
Moores Prairie Township	Moores Prairie Township, Illinois
Moore’s Prairie Township	Moore’s Prairie Township, Illinois
Moorsfield Township	Moorsfield Township, Ohio
Morena	Morena, California
Morgan Park	Morgan Park, Minnesota
Morlan Township	Morlan Township, Kansas
Morman Mill	Morman Mill, Texas
Mormon Mill	Mormon Mill, Texas
Morningside Park	Morningside Park, California
Morningside Place	Morningside Place, Texas
Moro Township	Moro Township, Illinois
Morrell Park	Morrell Park, Pennsylvania
Morris Park	Morris Park, Minnesota ||| Morris Park, New York
Morris Ranch Schoolhouse	Morris Ranch Schoolhouse, Texas
Morrison Ranch	Morrison Ranch, California
Morrow Township	Morrow Township, Arkansas ||| Morrow Township, Missouri
Mosquito Township	Mosquito Township, Illinois
Moss Farm	Moss Farm, Texas
Mother of God Cemetery	Mother of God Cemetery, Kentucky
Mott Haven	Mott Haven, New York
Mount Airy Township	Mount Airy Township, North Carolina
Mount Auburn Township	Mount Auburn Township, Illinois
Mount Carmel Precinct	Mount Carmel Precinct, Illinois
Mount Carroll Township	Mount Carroll Township, Illinois
Mount Davidson	Mount Davidson, California
Mount Erie Township	Mount Erie Township, Illinois
Mount Hebron Cemetery	Mount Hebron Cemetery, New Jersey
Mount Hermon Township	Mount Hermon Township, North Carolina
Mount Holly Cemetery	Mount Holly Cemetery, New Jersey
Mount Hope Township	Mount Hope Township, Illinois
Mount Pulaski Township	Mount Pulaski Township, Illinois
Mount Saint Mary College	Mount Saint Mary College, New Hampshire
Mount Scott-Arleta	Mount Scott-Arleta, Oregon
Mount Sterling Township	Mount Sterling Township, Illinois
Mount Ulla Township	Mount Ulla Township, North Carolina
Mount Zion Township	Mount Zion Township, Illinois
Mountain Township	Mountain Township, Illinois ||| Mountain Township, Missouri
Mountview Cemetery	Mountview Cemetery, Montana
Moweaqua Township	Moweaqua Township, Illinois
Mt Davidson	Mt Davidson, California
Mt. Davidson	Mt. Davidson, California
Mt. Erie Township	Mt. Erie Township, Illinois
Mt. Morris Township	Mt. Morris Township, Illinois
Mt. Olive Township	Mt. Olive Township, Illinois
Mt. Olympus	Mt. Olympus, California
Mt. Scott-Arleta	Mt. Scott-Arleta, Oregon
Mt. Tabor	Mt. Tabor, Oregon
Mt. Vernon Township	Mt. Vernon Township, Illinois
Mt. Zion Township	Mt. Zion Township, Illinois
Muir Heights	Muir Heights, California
Mulberry Grove Township	Mulberry Grove Township, Illinois
Mulberry Township	Mulberry Township, Kansas
Munger Place Historic District	Munger Place Historic District, Texas
Munger Place	Munger Place, Texas
Murder Dubbs	Murder Dubbs, California
Murdock Township	Murdock Township, Illinois ||| Murdock Township, Kansas
Murphy Corner	Murphy Corner, Wisconsin
Murphysboro Township	Murphysboro Township, Illinois
Museum District	Museum District, Pennsylvania ||| Museum District, Texas
Museum and Arts Center	Museum and Arts Center, Washington
Museum of Contemporary Art	Museum of Contemporary Art, California
Museum of Fine Arts	Museum of Fine Arts, Florida
Myers Park	Myers Park, North Carolina ||| Myers Park, Texas
Nachusa Township	Nachusa Township, Illinois
Naglee Park	Naglee Park, California
Nameoki Township	Nameoki Township, Illinois
Nancy Run	Nancy Run, West Virginia
Nat	Nat, West Virginia
National American University	National American University, South Dakota
National Register of Historic Places	National Register of Historic Places, Tennessee
Natomas Park	Natomas Park, California
Natomas	Natomas, California
Nauvoo Township	Nauvoo Township, Illinois
Naval Academy Preparatory School	Naval Academy Preparatory School, Maryland
Naval Air Station	Naval Air Station, Louisiana ||| Naval Air Station, Virginia
Naval Home	Naval Home, Pennsylvania
Naval Powder Factory	Naval Powder Factory, Maryland
Naval Station	Naval Station, Virginia
Naval Training Center	Naval Training Center, Maryland
Naval Weapons Laboratory	Naval Weapons Laboratory, Virginia
Near East Side	Near East Side, Ohio
Near North Side	Near North Side, Illinois ||| Near North Side, Texas
Near North	Near North, Illinois ||| Near North, Minnesota
Neartown	Neartown, Texas
Neely Township	Neely Township, Missouri
Neills Creek Township	Neills Creek Township, North Carolina
Neoga Township	Neoga Township, Illinois
Neosho Township	Neosho Township, Kansas
Neponset Township	Neponset Township, Illinois
Nestor	Nestor, California
Netawaka Township	Netawaka Township, Kansas
Nettle Creek Township	Nettle Creek Township, Illinois
Neuse Township	Neuse Township, North Carolina
New Athens Township	New Athens Township, Illinois
New Berlin Township	New Berlin Township, Illinois
New Boston Township	New Boston Township, Illinois
New Buda Township	New Buda Township, Iowa
New Center	New Center, Michigan
New Chinatown	New Chinatown, Illinois
New City Condominiums	New City Condominiums, New York
New College	New College, Massachusetts
New Douglas Township	New Douglas Township, Illinois
New Era Park	New Era Park, California
New Hampton Township	New Hampton Township, Iowa
New Holly	New Holly, Washington
New Home Township	New Home Township, Missouri
New Lenox Township	New Lenox Township, Illinois
New Light Township	New Light Township, North Carolina
New London High School	New London High School, Ohio
New Salem Township	New Salem Township, Illinois
New Suburb Beautiful	New Suburb Beautiful, Florida
New York City Community College	New York City Community College, New York
New York Township	New York Township, Missouri
NewHolly	NewHolly, Washington
Newark City School District	Newark City School District, Ohio
Newburgh Township	Newburgh Township, Ohio
Newcomb Township	Newcomb Township, Illinois
Newell Township	Newell Township, Illinois ||| Newell Township, Iowa
Newmansville Township	Newmansville Township, Illinois
Newport News Sheriff's Office	Newport News Sheriff's Office, Virginia
Niangua Township	Niangua Township, Missouri
Niantic Township	Niantic Township, Illinois
Nicetown	Nicetown, Pennsylvania
Nicetown-Tioga	Nicetown-Tioga, Pennsylvania
Nichols Canyon	Nichols Canyon, California
Nickerson Gardens	Nickerson Gardens, California
Nicodemus Township	Nicodemus Township, Kansas
Nicollet Island East Bank	Nicollet Island East Bank, Minnesota
Nicollet Island-East Bank	Nicollet Island-East Bank, Minnesota
Nicollet Island/East Bank	Nicollet Island/East Bank, Minnesota
Nihonmachi	Nihonmachi, California
Nilwood Township	Nilwood Township, Illinois
Nine Mile Prairie Township	Nine Mile Prairie Township, Missouri
Ninnescah Township	Ninnescah Township, Kansas
Nippawalla Township	Nippawalla Township, Kansas
Nishnabotna Township	Nishnabotna Township, Missouri
Nishnabotny Township	Nishnabotny Township, Iowa
Nixon Township	Nixon Township, Illinois
NoHo Arts District	NoHo Arts District, California
Nodaway Township	Nodaway Township, Iowa ||| Nodaway Township, Missouri
Noe Valley	Noe Valley, California
Nokomis Township	Nokomis Township, Illinois ||| Nokomis Township, Iowa
Noltimier Township	Noltimier Township, North Dakota
Nordonia Hills City School District	Nordonia Hills City School District, Ohio
Norma Township	Norma Township, North Dakota
Normal Heights	Normal Heights, California
Normal Township	Normal Township, Illinois
Normandie Heights	Normandie Heights, California
North &amp; East	North &amp; East, California
North Admiral	North Admiral, Washington
North Birmingham	North Birmingham, Alabama
North Brown Township	North Brown Township, Kansas
North Buck Shoals Township	North Buck Shoals Township, North Carolina
North Canton City School District	North Canton City School District, Ohio
North Capitol Hill	North Capitol Hill, Colorado
North Central	North Central, Pennsylvania
North Dallas	North Dallas, Texas
North Delridge	North Delridge, Washington
North End	North End, Massachusetts
North Fairmount	North Fairmount, Ohio
North Fall Creek Township	North Fall Creek Township, North Carolina
North Harrison Township	North Harrison Township, Arkansas
North Henderson Township	North Henderson Township, Illinois
North Homestead Township	North Homestead Township, Kansas
North Hurricane Township	North Hurricane Township, Illinois
North Hyde Park	North Hyde Park, Florida
North Knobs Township	North Knobs Township, North Carolina
North Lemmon Township	North Lemmon Township, North Dakota
North Liberty Township	North Liberty Township, North Carolina
North Litchfield Township	North Litchfield Township, Illinois
North Loop	North Loop, Minnesota
North Memphis	North Memphis, Tennessee
North Moniteau Township	North Moniteau Township, Missouri
North Muddy Township	North Muddy Township, Illinois
North New York	North New York, New York
North Okaw Township	North Okaw Township, Illinois
North Olmsted City School District	North Olmsted City School District, Ohio
North Otter Township	North Otter Township, Illinois
North Palmyra Township	North Palmyra Township, Illinois
North Point Park	North Point Park, Massachusetts
North Point Village	North Point Village, Maryland
North Riverdale	North Riverdale, New York
North Roscoe Township	North Roscoe Township, Kansas
North Sacramento	North Sacramento, California
North Shoal Creek	North Shoal Creek, Texas
North Tabor	North Tabor, Oregon
North Tampa	North Tampa, Florida
North University Park	North University Park, California
North Vallejo	North Vallejo, California
North Viking Township	North Viking Township, North Dakota
North Yocum Township	North Yocum Township, Arkansas
North Yokum Township	North Yokum Township, Arkansas
NorthWood	NorthWood, California
Northbrae	Northbrae, California
Northcliff Manor	Northcliff Manor, Texas
Northeast Community	Northeast Community, Florida
Northeast Macfarlane	Northeast Macfarlane, Florida
Northeast Park	Northeast Park, Minnesota
Northeast Tacoma	Northeast Tacoma, Washington
Northeast Village	Northeast Village, Pennsylvania
Northern precinct	Northern precinct, New Jersey
Northfork Township	Northfork Township, Missouri
Northmont City School District	Northmont City School District, Ohio
Northshore	Northshore, Texas
Northside	Northside, California ||| Northside, Florida ||| Northside, Texas
Northview Hills	Northview Hills, Florida
Northwest District	Northwest District, Oregon
Northwest Heights	Northwest Heights, Oregon
Northwest Highway	Northwest Highway, Texas
Northwest Hills	Northwest Hills, Texas
Northwest Industrial	Northwest Industrial, Oregon
Northwest Local School District	Northwest Local School District, Ohio
Northwestern Middle School	Northwestern Middle School, Ohio
Northwood Heights	Northwood Heights, Texas
Northwood High School	Northwood High School, California
Northwood Hills	Northwood Hills, Texas
Northwood School	Northwood School, New York
Norwalk Catholic Schools	Norwalk Catholic Schools, Ohio
Notre Dame High School	Notre Dame High School, California ||| Notre Dame High School, Connecticut ||| Notre Dame High School, Illinois ||| Notre Dame High School, Louisiana ||| Notre Dame High School, Michigan ||| Notre Dame High School, New Jersey ||| Notre Dame High School, New York ||| Notre Dame High School, Tennessee
Notre Dame Junior Senior High School	Notre Dame Junior Senior High School, New York
O'Fallon Township	O'Fallon Township, Illinois
Oakdale Township	Oakdale Township, Illinois ||| Oakdale Township, Nebraska
Oakford No. 9 Precinct	Oakford No. 9 Precinct, Illinois
Oakford Precinct	Oakford Precinct, Illinois
Oakhill Township	Oakhill Township, North Dakota
Oakland Hills	Oakland Hills, California
Oakland Mills	Oakland Mills, Maryland
Oakland Point	Oakland Point, California
Oakmore	Oakmore, California
Oakwood Cemetery	Oakwood Cemetery, New York
Oberlin Township	Oberlin Township, Kansas
Oberon Township	Oberon Township, North Dakota
Oblong Township	Oblong Township, Illinois
Ocean Avenue	Ocean Avenue, California
Ocean Crest	Ocean Crest, California
Ocean View Elementary School	Ocean View Elementary School, California
Oceanview Elementary School	Oceanview Elementary School, California
Ogontz	Ogontz, Pennsylvania
Ohio Grove Township	Ohio Grove Township, Illinois
Oil Springs Reservation	Oil Springs Reservation, New York
Okaw Township	Okaw Township, Illinois
